suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-uom;3;1;0.00;0;0;1;0.00;0.00;100.00;mou-
-fgras;5;2;0.00;0;0;2;0.00;0.00;100.00;sargf-
-mutat;5;2;0.00;0;0;2;0.00;0.00;100.00;tatum-
-afuti;5;1;0.00;0;0;1;0.00;0.00;100.00;itufa-
-toxid;5;15;0.00;0;0;15;0.00;0.00;100.00;dixot-
-ecay;4;1;0.00;0;0;1;0.00;0.00;100.00;yace-
-rpa;3;1;0.00;1;0;0;100.00;0.00;0.00;apr-
-lurn;4;1;0.00;0;0;1;0.00;0.00;100.00;nrul-
-toxie;5;1;0.00;0;1;0;0.00;100.00;0.00;eixot-
-uon;3;2;0.00;0;0;2;0.00;0.00;100.00;nou-
-äfeli;5;1;0.00;0;0;1;0.00;0.00;100.00;ilefä-
-fgrau;5;2;0.00;0;0;2;0.00;0.00;100.00;uargf-
-älin;4;2;0.00;0;2;0;0.00;100.00;0.00;nilä-
-rgamo;5;1;0.00;0;0;1;0.00;0.00;100.00;omagr-
-iedau;5;1;0.00;0;1;0;0.00;100.00;0.00;uadei-
-rkmut;5;1;0.00;1;0;0;100.00;0.00;0.00;tumkr-
-avade;5;1;0.00;0;1;0;0.00;100.00;0.00;edava-
-ergon;5;1;0.00;0;0;1;0.00;0.00;100.00;nogre-
-ikauf;5;1;0.00;1;0;0;100.00;0.00;0.00;fuaki-
-illn;4;1;0.00;0;0;1;0.00;0.00;100.00;nlli-
-ugelb;5;1;0.00;0;0;1;0.00;0.00;100.00;blegu-
